User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1003032,P00356742,M,26-35,0,A,1,1,5,,,8635
1005728,P00065242,F,36-45,20,C,3,0,2,3,4,6391
1004483,P00006142,F,26-35,6,B,4+,0,8,,,6054
1003884,P00348242,M,18-25,4,A,1,1,8,,,4213
1000524,P00147042,M,18-25,0,A,0,0,8,14,,8002
1005874,P00124242,M,26-35,4,B,1,0,11,14,,6123
1001895,P00037142,M,36-45,14,C,2,0,1,2,5,15436
1004021,P00130742,M,51-55,20,B,1,1,1,14,17,15191
1002547,P00111742,F,36-45,0,C,0,1,15,,,12656
1000971,P00118642,M,26-35,12,B,2,1,1,8,14,11864
1000245,P00050742,M,36-45,16,B,0,0,5,,,3672
1005563,P00112442,F,26-35,7,C,3,0,6,8,,20081
1005780,P00140042,M,18-25,17,B,1,0,1,16,,15347
1004508,P00085042,M,26-35,20,A,2,0,5,6,,5293
1005365,P00158242,M,18-25,12,C,0,0,6,8,,16570
1002581,P00302342,M,26-35,11,A,1,0,8,,,6166
1006011,P00191342,M,36-45,15,C,3,0,2,4,9,3639
1004007,P00114442,M,36-45,12,A,1,1,5,6,,6903
1000058,P00142142,M,26-35,2,B,3,0,1,2,15,11606
1000889,P00358142,M,46-50,20,A,1,0,8,14,,4077
1000139,P00220442,F,26-35,20,C,2,0,5,14,,7118
1000932,P00240842,F,36-45,6,C,0,0,8,,,9754
1002418,P00003942,F,0-17,10,B,1,0,5,14,,3624
1001137,P00110842,M,18-25,4,B,4+,0,1,2,5,18961
1002072,P00220442,F,51-55,12,C,1,0,5,14,,8571
1001920,P00121642,F,36-45,7,B,1,0,5,14,,8736
1001422,P00092442,M,36-45,17,B,3,0,2,4,,10094
1004387,P00158342,F,18-25,4,B,0,0,8,,,7868
1003328,P00157642,M,55+,19,C,2,1,1,14,16,15190
1000438,P0096142,M,18-25,11,A,3,0,3,4,,8407
1005433,P00222742,F,36-45,17,B,3,1,8,16,,9858
1004454,P00025442,M,26-35,20,C,1,0,1,2,9,11545
1001503,P00233542,M,26-35,12,A,2,0,1,15,,15372
1002395,P00245642,M,36-45,7,C,1,0,5,11,12,7139
1005026,P00218642,M,26-35,17,B,1,1,5,,,5203
1001298,P00068242,M,36-45,6,B,4+,0,2,4,,10106
1003416,P00242742,M,26-35,12,B,4+,1,1,2,9,15193
1005502,P00025942,M,26-35,2,A,4+,0,8,14,,7770
1005404,P00254142,M,26-35,0,C,4+,1,8,,,7805
1004607,P00046142,M,26-35,0,B,4+,0,1,16,,15509
1004984,P00084842,M,36-45,0,A,1,1,8,16,,9858
1003195,P00182242,M,18-25,4,B,4+,0,1,5,6,8189
1004448,P00196042,M,26-35,14,A,0,0,4,9,15,2754
1002010,P00150542,M,18-25,4,B,0,0,5,,,5375
1004312,P00022842,M,26-35,18,A,0,1,5,,,1842
1005142,P00186142,M,26-35,1,B,1,1,1,2,4,11388
1005749,P00110042,M,26-35,2,A,0,1,5,14,,3654
1000423,P00250342,M,18-25,4,A,1,0,16,,,8085
1000398,P00282442,M,26-35,17,B,3,1,5,8,18,6938
1003916,P00004142,M,26-35,4,A,2,1,8,17,,9982
1004666,P00152242,M,36-45,1,A,1,1,14,16,,14691
1000368,P00209842,M,26-35,0,C,1,0,5,8,,7133
1003128,P00145542,M,18-25,2,B,3,0,5,,,1973
1002907,P00303542,F,36-45,5,A,4+,0,5,,,6930
1004034,P00111942,M,26-35,0,C,1,1,8,17,,9930
1002419,P00050342,M,26-35,0,B,3,1,5,8,17,3723
1003585,P00008442,M,36-45,20,A,0,1,8,14,,5977
1000721,P00339942,F,36-45,9,B,1,0,1,,,15886
1004028,P00187142,M,26-35,4,A,2,0,2,4,5,3742
1000202,P00009342,M,18-25,4,A,3,0,1,16,,11937
1000327,P00115342,M,36-45,18,C,4+,0,5,8,14,7015
1002018,P00368442,M,36-45,16,B,1,0,11,,,6119
1004800,P00064142,M,18-25,4,A,1,0,16,,,8762
1004250,P00011042,F,51-55,0,C,4+,1,8,13,,7775
1001980,P00221842,M,36-45,7,A,1,0,1,8,,7732
1005538,P00317542,M,46-50,12,B,2,1,1,8,,15562
1003754,P00292042,M,55+,7,C,1,1,8,,,7990
1003945,P00253142,F,46-50,1,B,2,0,1,2,5,11973
1003129,P00231942,M,26-35,7,B,2,0,11,,,4622
1000195,P00204742,M,26-35,12,B,4+,1,8,,,9826
1004482,P00331342,F,36-45,1,A,1,0,8,16,,10074
1005493,P00068942,M,36-45,12,B,3,0,5,,,3633
1004161,P00182342,M,46-50,0,B,3,1,1,5,6,7915
1003013,P00189842,M,46-50,17,B,2,1,3,4,5,10964
1005283,P00322142,M,18-25,2,C,1,1,1,14,,11897
1005220,P00222842,M,26-35,7,B,4+,0,8,,,5827
1001746,P00285642,M,26-35,4,C,1,1,2,5,15,15888
1000877,P00001142,M,26-35,0,B,1,1,5,8,14,5320
1004335,P00221342,M,36-45,0,B,3,0,1,2,5,12066
1004586,P00220342,M,26-35,4,C,4+,0,5,,,8738
1002934,P00051142,F,36-45,20,B,3,0,8,,,8044
1002469,P00080342,M,26-35,4,B,4+,0,1,6,8,19589
1000986,P00367042,F,55+,0,C,1,1,8,,,9980
1000238,P00102242,F,51-55,7,B,0,0,8,12,,10012
1001741,P00323742,M,36-45,7,A,4+,1,8,,,9713
1002496,P00358942,M,51-55,1,B,1,0,11,15,,1742
1005636,P00102342,M,26-35,7,A,0,1,8,14,17,9762
1000889,P00267842,M,46-50,20,A,1,0,5,14,,3578
1005555,P00014642,M,0-17,10,B,2,0,8,14,17,5905
1002824,P00307442,M,18-25,4,C,3,0,5,8,,1865
1001333,P00229742,M,26-35,17,A,4+,0,1,16,,11913
1004658,P00113642,M,26-35,4,B,3,1,8,,,9906
